YearMonth,Year,Month,Terminal,TotalBerths,OccupiedBerths,UtilisationRate,AvgWaitingTimeHrs,MaintenanceBerths,AvailableBerths
2023-01,2023,1,Tanjong Pagar,6,5.2,0.865,5.5,1,0.0
2023-01,2023,1,Keppel,8,6.5,0.806,9.6,0,2.0
2023-01,2023,1,Brani,4,3.2,0.789,7.1,0,1.0
2023-01,2023,1,Pasir Panjang T1-2,10,9.1,0.906,3.9,1,0.0
2023-01,2023,1,Pasir Panjang T3-4,10,8.7,0.87,12.4,0,1.0
2023-01,2023,1,Tuas,14,10.5,0.753,12.1,1,3.0
2023-02,2023,2,Tanjong Pagar,6,4.8,0.805,10.7,0,1.0
2023-02,2023,2,Keppel,8,7.1,0.892,4.2,0,1.0
2023-02,2023,2,Brani,4,3.1,0.774,7.6,1,0.0
2023-02,2023,2,Pasir Panjang T1-2,10,9.4,0.936,10.4,1,0.0
2023-02,2023,2,Pasir Panjang T3-4,10,9.0,0.901,8.2,0,1.0
2023-02,2023,2,Tuas,14,10.2,0.728,10.9,0,4.0
2023-03,2023,3,Tanjong Pagar,6,4.8,0.804,14.4,1,0.0
2023-03,2023,3,Keppel,8,6.7,0.835,8.9,0,1.0
2023-03,2023,3,Brani,4,3.2,0.798,9.5,0,1.0
2023-03,2023,3,Pasir Panjang T1-2,10,9.5,0.951,15.6,1,-1.0
2023-03,2023,3,Pasir Panjang T3-4,10,9.1,0.912,2.9,0,1.0
2023-03,2023,3,Tuas,14,10.5,0.748,5.9,0,4.0
2023-04,2023,4,Tanjong Pagar,6,4.9,0.817,12.6,0,1.0
2023-04,2023,4,Keppel,8,6.8,0.846,6.3,0,1.0
2023-04,2023,4,Brani,4,3.3,0.825,8.5,0,1.0
2023-04,2023,4,Pasir Panjang T1-2,10,8.9,0.885,4.2,0,1.0
2023-04,2023,4,Pasir Panjang T3-4,10,8.9,0.885,6.3,0,1.0
2023-04,2023,4,Tuas,14,10.5,0.753,4.3,0,4.0
2023-05,2023,5,Tanjong Pagar,6,5.0,0.828,10.3,1,0.0
2023-05,2023,5,Keppel,8,7.0,0.87,13.6,1,0.0
2023-05,2023,5,Brani,4,2.9,0.737,11.0,1,0.0
2023-05,2023,5,Pasir Panjang T1-2,10,8.9,0.887,13.6,0,1.0
2023-05,2023,5,Pasir Panjang T3-4,10,8.8,0.876,8.4,1,0.0
2023-05,2023,5,Tuas,14,9.9,0.707,4.3,1,3.0
2023-06,2023,6,Tanjong Pagar,6,4.8,0.796,9.9,1,0.0
2023-06,2023,6,Keppel,8,6.3,0.792,4.2,0,2.0
2023-06,2023,6,Brani,4,3.0,0.745,9.9,1,0.0
2023-06,2023,6,Pasir Panjang T1-2,10,9.1,0.912,11.1,1,0.0
2023-06,2023,6,Pasir Panjang T3-4,10,8.5,0.851,8.9,0,2.0
2023-06,2023,6,Tuas,14,10.0,0.713,8.8,1,3.0
2023-07,2023,7,Tanjong Pagar,6,4.5,0.744,12.0,1,1.0
2023-07,2023,7,Keppel,8,6.3,0.79,9.2,0,2.0
2023-07,2023,7,Brani,4,2.9,0.736,13.5,1,0.0
2023-07,2023,7,Pasir Panjang T1-2,10,8.9,0.886,7.0,1,0.0
2023-07,2023,7,Pasir Panjang T3-4,10,8.1,0.811,6.6,1,1.0
2023-07,2023,7,Tuas,14,9.4,0.673,10.0,1,4.0
2023-08,2023,8,Tanjong Pagar,6,4.5,0.756,7.4,1,1.0
2023-08,2023,8,Keppel,8,6.1,0.765,12.4,1,1.0
2023-08,2023,8,Brani,4,2.8,0.71,4.1,0,1.0
2023-08,2023,8,Pasir Panjang T1-2,10,8.1,0.811,7.9,1,1.0
2023-08,2023,8,Pasir Panjang T3-4,10,8.1,0.81,10.2,0,2.0
2023-08,2023,8,Tuas,14,9.7,0.696,8.8,1,3.0
2023-09,2023,9,Tanjong Pagar,6,4.7,0.779,4.6,0,1.0
2023-09,2023,9,Keppel,8,6.3,0.787,9.0,0,2.0
2023-09,2023,9,Brani,4,2.8,0.691,10.9,1,0.0
2023-09,2023,9,Pasir Panjang T1-2,10,8.2,0.818,9.3,1,1.0
2023-09,2023,9,Pasir Panjang T3-4,10,7.8,0.776,5.1,0,2.0
2023-09,2023,9,Tuas,14,8.9,0.637,2.6,1,4.0
2023-10,2023,10,Tanjong Pagar,6,4.5,0.745,7.5,1,1.0
2023-10,2023,10,Keppel,8,6.3,0.782,8.5,1,1.0
2023-10,2023,10,Brani,4,3.0,0.753,9.7,1,0.0
2023-10,2023,10,Pasir Panjang T1-2,10,8.1,0.813,12.4,1,1.0
2023-10,2023,10,Pasir Panjang T3-4,10,8.4,0.844,12.3,1,1.0
2023-10,2023,10,Tuas,14,9.7,0.694,10.7,0,4.0
2023-11,2023,11,Tanjong Pagar,6,4.7,0.786,9.2,0,1.0
2023-11,2023,11,Keppel,8,6.3,0.79,12.9,1,1.0
2023-11,2023,11,Brani,4,3.0,0.743,3.7,1,0.0
2023-11,2023,11,Pasir Panjang T1-2,10,8.6,0.862,11.0,1,0.0
2023-11,2023,11,Pasir Panjang T3-4,10,8.2,0.819,10.9,1,1.0
2023-11,2023,11,Tuas,14,9.4,0.673,9.9,1,4.0
2023-12,2023,12,Tanjong Pagar,6,4.5,0.747,9.5,1,1.0
2023-12,2023,12,Keppel,8,6.6,0.82,9.3,1,0.0
2023-12,2023,12,Brani,4,2.9,0.732,4.5,0,1.0
2023-12,2023,12,Pasir Panjang T1-2,10,8.8,0.878,14.7,0,1.0
2023-12,2023,12,Pasir Panjang T3-4,10,8.3,0.829,6.4,1,1.0
2023-12,2023,12,Tuas,14,9.5,0.679,4.0,1,3.0
2024-01,2024,1,Tanjong Pagar,6,4.9,0.813,11.8,0,1.0
2024-01,2024,1,Keppel,8,6.5,0.812,5.3,1,1.0
2024-01,2024,1,Brani,4,3.1,0.783,9.5,0,1.0
2024-01,2024,1,Pasir Panjang T1-2,10,9.4,0.936,12.4,0,1.0
2024-01,2024,1,Pasir Panjang T3-4,10,8.6,0.855,8.8,1,0.0
2024-01,2024,1,Tuas,14,10.0,0.711,9.2,1,3.0
2024-02,2024,2,Tanjong Pagar,6,5.1,0.856,14.7,0,1.0
2024-02,2024,2,Keppel,8,6.9,0.868,4.5,1,0.0
2024-02,2024,2,Brani,4,3.0,0.762,4.2,0,1.0
2024-02,2024,2,Pasir Panjang T1-2,10,9.3,0.932,5.0,0,1.0
2024-02,2024,2,Pasir Panjang T3-4,10,8.8,0.882,7.2,0,1.0
2024-02,2024,2,Tuas,14,10.2,0.73,12.9,1,3.0
2024-03,2024,3,Tanjong Pagar,6,4.9,0.819,5.3,1,0.0
2024-03,2024,3,Keppel,8,6.9,0.865,8.2,1,0.0
2024-03,2024,3,Brani,4,3.2,0.794,10.0,0,1.0
2024-03,2024,3,Pasir Panjang T1-2,10,9.0,0.896,13.6,0,1.0
2024-03,2024,3,Pasir Panjang T3-4,10,8.9,0.89,6.9,1,0.0
2024-03,2024,3,Tuas,14,10.7,0.765,8.1,0,3.0
2024-04,2024,4,Tanjong Pagar,6,4.8,0.805,7.6,1,0.0
2024-04,2024,4,Keppel,8,6.9,0.867,5.1,1,0.0
2024-04,2024,4,Brani,4,3.1,0.775,12.8,1,0.0
2024-04,2024,4,Pasir Panjang T1-2,10,8.8,0.882,12.3,0,1.0
2024-04,2024,4,Pasir Panjang T3-4,10,8.7,0.866,12.4,0,1.0
2024-04,2024,4,Tuas,14,10.5,0.748,3.4,0,4.0
2024-05,2024,5,Tanjong Pagar,6,4.5,0.746,10.8,0,2.0
2024-05,2024,5,Keppel,8,6.6,0.83,11.3,0,1.0
2024-05,2024,5,Brani,4,3.1,0.772,8.3,0,1.0
2024-05,2024,5,Pasir Panjang T1-2,10,8.9,0.89,5.3,0,1.0
2024-05,2024,5,Pasir Panjang T3-4,10,8.9,0.892,12.0,0,1.0
2024-05,2024,5,Tuas,14,10.1,0.718,8.9,1,3.0
2024-06,2024,6,Tanjong Pagar,6,4.6,0.765,3.9,1,0.0
2024-06,2024,6,Keppel,8,6.5,0.817,9.1,1,1.0
2024-06,2024,6,Brani,4,3.0,0.75,6.3,0,1.0
2024-06,2024,6,Pasir Panjang T1-2,10,8.9,0.887,6.2,0,1.0
2024-06,2024,6,Pasir Panjang T3-4,10,8.5,0.854,6.2,0,2.0
2024-06,2024,6,Tuas,14,10.1,0.721,13.2,1,3.0
2024-07,2024,7,Tanjong Pagar,6,4.7,0.791,3.5,1,0.0
2024-07,2024,7,Keppel,8,7.0,0.871,5.5,0,1.0
2024-07,2024,7,Brani,4,3.1,0.776,2.8,1,0.0
2024-07,2024,7,Pasir Panjang T1-2,10,9.3,0.928,14.9,0,1.0
2024-07,2024,7,Pasir Panjang T3-4,10,8.9,0.886,13.7,0,1.0
2024-07,2024,7,Tuas,14,10.3,0.733,3.4,1,3.0
2024-08,2024,8,Tanjong Pagar,6,4.9,0.814,7.6,1,0.0
2024-08,2024,8,Keppel,8,7.0,0.877,5.9,1,0.0
2024-08,2024,8,Brani,4,3.0,0.753,8.8,0,1.0
2024-08,2024,8,Pasir Panjang T1-2,10,9.1,0.91,8.9,0,1.0
2024-08,2024,8,Pasir Panjang T3-4,10,9.1,0.905,13.9,1,0.0
2024-08,2024,8,Tuas,14,9.8,0.7,7.6,1,3.0
2024-09,2024,9,Tanjong Pagar,6,4.9,0.825,8.4,1,0.0
2024-09,2024,9,Keppel,8,7.0,0.876,13.9,1,0.0
2024-09,2024,9,Brani,4,3.1,0.773,10.1,0,1.0
2024-09,2024,9,Pasir Panjang T1-2,10,8.7,0.867,7.1,1,0.0
2024-09,2024,9,Pasir Panjang T3-4,10,9.0,0.899,3.8,0,1.0
2024-09,2024,9,Tuas,14,10.0,0.715,10.6,1,3.0
2024-10,2024,10,Tanjong Pagar,6,5.0,0.838,6.4,1,0.0
2024-10,2024,10,Keppel,8,6.8,0.852,14.5,0,1.0
2024-10,2024,10,Brani,4,3.2,0.789,12.2,1,0.0
2024-10,2024,10,Pasir Panjang T1-2,10,9.6,0.964,14.8,0,0.0
2024-10,2024,10,Pasir Panjang T3-4,10,8.6,0.862,6.7,1,0.0
2024-10,2024,10,Tuas,14,10.1,0.723,10.0,1,3.0
2024-11,2024,11,Tanjong Pagar,6,5.0,0.838,14.1,0,1.0
2024-11,2024,11,Keppel,8,6.9,0.863,8.4,0,1.0
2024-11,2024,11,Brani,4,3.1,0.784,12.0,1,0.0
2024-11,2024,11,Pasir Panjang T1-2,10,9.2,0.917,12.9,0,1.0
2024-11,2024,11,Pasir Panjang T3-4,10,8.9,0.889,8.1,1,0.0
2024-11,2024,11,Tuas,14,10.4,0.746,5.8,0,4.0
2024-12,2024,12,Tanjong Pagar,6,4.9,0.819,4.2,1,0.0
2024-12,2024,12,Keppel,8,7.0,0.872,4.9,1,0.0
2024-12,2024,12,Brani,4,3.2,0.798,11.6,0,1.0
2024-12,2024,12,Pasir Panjang T1-2,10,9.3,0.929,8.9,0,1.0
2024-12,2024,12,Pasir Panjang T3-4,10,9.3,0.927,6.5,1,0.0
2024-12,2024,12,Tuas,14,10.5,0.752,4.4,1,3.0
