Date,Terminal,TotalCranes,ActiveCranes,MovesPerHour,DowntimePct,TotalMovesDay,Month,Year
2023-01-01,Tanjong Pagar,18,14,26.2,0.054,7336,1,2023
2023-01-01,Keppel,24,23,34.7,0.085,15962,1,2023
2023-01-01,Brani,12,10,29.7,0.043,5940,1,2023
2023-01-01,Pasir Panjang T1-2,30,28,29.1,0.092,16296,1,2023
2023-01-01,Pasir Panjang T3-4,30,26,32.3,0.094,16796,1,2023
2023-01-01,Tuas,38,36,27.1,0.085,19512,1,2023
2023-01-02,Tanjong Pagar,18,14,27.5,0.056,7700,1,2023
2023-01-02,Keppel,24,22,35.7,0.102,15708,1,2023
2023-01-02,Brani,12,9,31.8,0.115,5724,1,2023
2023-01-02,Pasir Panjang T1-2,30,29,24.7,0.041,14326,1,2023
2023-01-02,Pasir Panjang T3-4,30,30,33.4,0.109,20040,1,2023
2023-01-02,Tuas,38,38,34.2,0.035,25992,1,2023
2023-01-03,Tanjong Pagar,18,14,26.4,0.052,7391,1,2023
2023-01-03,Keppel,24,20,25.0,0.059,10000,1,2023
2023-01-03,Brani,12,9,31.3,0.1,5634,1,2023
2023-01-03,Pasir Panjang T1-2,30,29,23.8,0.021,13804,1,2023
2023-01-03,Pasir Panjang T3-4,30,26,27.5,0.038,14300,1,2023
2023-01-03,Tuas,38,38,25.7,0.062,19532,1,2023
2023-01-04,Tanjong Pagar,18,14,28.3,0.085,7924,1,2023
2023-01-04,Keppel,24,23,23.7,0.087,10902,1,2023
2023-01-04,Brani,12,9,27.9,0.083,5022,1,2023
2023-01-04,Pasir Panjang T1-2,30,27,29.3,0.097,15822,1,2023
2023-01-04,Pasir Panjang T3-4,30,30,33.3,0.057,19979,1,2023
2023-01-04,Tuas,38,36,35.3,0.031,25416,1,2023
2023-01-05,Tanjong Pagar,18,15,35.3,0.104,10590,1,2023
2023-01-05,Keppel,24,20,33.0,0.083,13200,1,2023
2023-01-05,Brani,12,10,25.3,0.089,5060,1,2023
2023-01-05,Pasir Panjang T1-2,30,27,35.9,0.061,19386,1,2023
2023-01-05,Pasir Panjang T3-4,30,30,34.4,0.062,20640,1,2023
2023-01-05,Tuas,38,38,28.7,0.046,21812,1,2023
2023-01-06,Tanjong Pagar,18,16,32.1,0.109,10272,1,2023
2023-01-06,Keppel,24,20,24.1,0.044,9640,1,2023
2023-01-06,Brani,12,12,29.6,0.024,7104,1,2023
2023-01-06,Pasir Panjang T1-2,30,30,28.5,0.096,17100,1,2023
2023-01-06,Pasir Panjang T3-4,30,30,31.4,0.063,18840,1,2023
2023-01-06,Tuas,38,35,24.8,0.062,17360,1,2023
2023-01-07,Tanjong Pagar,18,17,24.1,0.083,8194,1,2023
2023-01-07,Keppel,24,20,33.7,0.023,13480,1,2023
2023-01-07,Brani,12,8,27.7,0.052,4432,1,2023
2023-01-07,Pasir Panjang T1-2,30,28,25.3,0.109,14168,1,2023
2023-01-07,Pasir Panjang T3-4,30,28,31.4,0.024,17584,1,2023
2023-01-07,Tuas,38,36,32.1,0.028,23112,1,2023
2023-01-08,Tanjong Pagar,18,15,31.5,0.03,9450,1,2023
2023-01-08,Keppel,24,23,24.9,0.075,11453,1,2023
2023-01-08,Brani,12,10,26.1,0.045,5220,1,2023
2023-01-08,Pasir Panjang T1-2,30,29,35.8,0.083,20763,1,2023
2023-01-08,Pasir Panjang T3-4,30,30,24.0,0.079,14400,1,2023
2023-01-08,Tuas,38,35,31.5,0.088,22050,1,2023
2023-01-09,Tanjong Pagar,18,16,27.8,0.066,8896,1,2023
2023-01-09,Keppel,24,21,25.8,0.088,10836,1,2023
2023-01-09,Brani,12,10,26.9,0.078,5380,1,2023
2023-01-09,Pasir Panjang T1-2,30,27,25.4,0.095,13716,1,2023
2023-01-09,Pasir Panjang T3-4,30,29,33.8,0.044,19604,1,2023
2023-01-09,Tuas,38,38,25.8,0.027,19608,1,2023
2023-01-10,Tanjong Pagar,18,15,29.2,0.112,8760,1,2023
2023-01-10,Keppel,24,20,30.9,0.086,12360,1,2023
2023-01-10,Brani,12,8,27.3,0.102,4368,1,2023
2023-01-10,Pasir Panjang T1-2,30,26,29.6,0.061,15392,1,2023
2023-01-10,Pasir Panjang T3-4,30,28,24.1,0.028,13496,1,2023
2023-01-10,Tuas,38,35,28.0,0.055,19600,1,2023
2023-01-11,Tanjong Pagar,18,15,34.0,0.117,10200,1,2023
2023-01-11,Keppel,24,21,26.2,0.056,11003,1,2023
2023-01-11,Brani,12,12,28.5,0.063,6840,1,2023
2023-01-11,Pasir Panjang T1-2,30,27,35.5,0.032,19170,1,2023
2023-01-11,Pasir Panjang T3-4,30,29,25.3,0.112,14674,1,2023
2023-01-11,Tuas,38,35,32.9,0.076,23030,1,2023
2023-01-12,Tanjong Pagar,18,18,35.0,0.079,12600,1,2023
2023-01-12,Keppel,24,20,35.7,0.089,14280,1,2023
2023-01-12,Brani,12,12,25.6,0.115,6144,1,2023
2023-01-12,Pasir Panjang T1-2,30,30,28.1,0.041,16860,1,2023
2023-01-12,Pasir Panjang T3-4,30,29,32.3,0.07,18734,1,2023
2023-01-12,Tuas,38,36,23.5,0.035,16920,1,2023
2023-01-13,Tanjong Pagar,18,18,28.6,0.045,10296,1,2023
2023-01-13,Keppel,24,22,23.5,0.03,10340,1,2023
2023-01-13,Brani,12,10,29.7,0.063,5940,1,2023
2023-01-13,Pasir Panjang T1-2,30,28,27.0,0.032,15120,1,2023
2023-01-13,Pasir Panjang T3-4,30,28,30.5,0.02,17080,1,2023
2023-01-13,Tuas,38,37,35.1,0.021,25974,1,2023
2023-01-14,Tanjong Pagar,18,14,32.8,0.086,9183,1,2023
2023-01-14,Keppel,24,24,32.1,0.077,15408,1,2023
2023-01-14,Brani,12,10,24.5,0.085,4900,1,2023
2023-01-14,Pasir Panjang T1-2,30,30,26.9,0.114,16140,1,2023
2023-01-14,Pasir Panjang T3-4,30,26,24.4,0.089,12688,1,2023
2023-01-14,Tuas,38,35,35.3,0.071,24710,1,2023
2023-01-15,Tanjong Pagar,18,16,25.8,0.118,8256,1,2023
2023-01-15,Keppel,24,20,29.6,0.036,11840,1,2023
2023-01-15,Brani,12,9,29.5,0.069,5310,1,2023
