Date,TEU,Terminal,Month,Year,Quarter,DayOfWeek,IsWeekend
2023-01-01,82497,Keppel,1,2023,1,Sunday,True
2023-01-02,78854,Tanjong Pagar,1,2023,1,Monday,False
2023-01-03,83991,Pasir Panjang T1-2,1,2023,1,Tuesday,False
2023-01-04,84648,Tanjong Pagar,1,2023,1,Wednesday,False
2023-01-05,76677,Keppel,1,2023,1,Thursday,False
2023-01-06,78620,Tanjong Pagar,1,2023,1,Friday,False
2023-01-07,82751,Tanjong Pagar,1,2023,1,Saturday,True
2023-01-08,81636,Tuas,1,2023,1,Sunday,True
2023-01-09,82603,Tanjong Pagar,1,2023,1,Monday,False
2023-01-10,80391,Tanjong Pagar,1,2023,1,Tuesday,False
2023-01-11,85372,Tuas,1,2023,1,Wednesday,False
2023-01-12,85218,Keppel,1,2023,1,Thursday,False
2023-01-13,83357,Pasir Panjang T3-4,1,2023,1,Friday,False
2023-01-14,86460,Tanjong Pagar,1,2023,1,Saturday,True
2023-01-15,84746,Tanjong Pagar,1,2023,1,Sunday,True
2023-01-16,81164,Tanjong Pagar,1,2023,1,Monday,False
2023-01-17,84736,Pasir Panjang T3-4,1,2023,1,Tuesday,False
2023-01-18,81153,Pasir Panjang T1-2,1,2023,1,Wednesday,False
2023-01-19,86432,Brani,1,2023,1,Thursday,False
2023-01-20,83968,Keppel,1,2023,1,Friday,False
2023-01-21,83725,Tanjong Pagar,1,2023,1,Saturday,True
2023-01-22,82472,Pasir Panjang T1-2,1,2023,1,Sunday,True
2023-01-23,87937,Keppel,1,2023,1,Monday,False
2023-01-24,84218,Pasir Panjang T1-2,1,2023,1,Tuesday,False
2023-01-25,83587,Pasir Panjang T3-4,1,2023,1,Wednesday,False
2023-01-26,83937,Tuas,1,2023,1,Thursday,False
2023-01-27,86551,Brani,1,2023,1,Friday,False
2023-01-28,86220,Tanjong Pagar,1,2023,1,Saturday,True
2023-01-29,86489,Keppel,1,2023,1,Sunday,True
2023-01-30,86677,Tuas,1,2023,1,Monday,False
2023-01-31,91604,Pasir Panjang T1-2,1,2023,1,Tuesday,False
2023-02-01,84607,Pasir Panjang T1-2,2,2023,1,Wednesday,False
2023-02-02,84447,Brani,2,2023,1,Thursday,False
2023-02-03,83740,Tanjong Pagar,2,2023,1,Friday,False
2023-02-04,87879,Tuas,2,2023,1,Saturday,True
2023-02-05,89452,Pasir Panjang T3-4,2,2023,1,Sunday,True
2023-02-06,86108,Tuas,2,2023,1,Monday,False
2023-02-07,84211,Tuas,2,2023,1,Tuesday,False
2023-02-08,84390,Keppel,2,2023,1,Wednesday,False
2023-02-09,88656,Keppel,2,2023,1,Thursday,False
2023-02-10,89050,Keppel,2,2023,1,Friday,False
2023-02-11,88625,Tuas,2,2023,1,Saturday,True
2023-02-12,85375,Pasir Panjang T1-2,2,2023,1,Sunday,True
2023-02-13,88022,Brani,2,2023,1,Monday,False
2023-02-14,87832,Tuas,2,2023,1,Tuesday,False
2023-02-15,88250,Pasir Panjang T1-2,2,2023,1,Wednesday,False
2023-02-16,90210,Tuas,2,2023,1,Thursday,False
2023-02-17,88527,Tuas,2,2023,1,Friday,False
2023-02-18,89933,Tanjong Pagar,2,2023,1,Saturday,True
2023-02-19,88352,Brani,2,2023,1,Sunday,True
2023-02-20,89102,Pasir Panjang T3-4,2,2023,1,Monday,False
2023-02-21,90188,Pasir Panjang T3-4,2,2023,1,Tuesday,False
2023-02-22,84469,Tanjong Pagar,2,2023,1,Wednesday,False
2023-02-23,87781,Keppel,2,2023,1,Thursday,False
2023-02-24,87485,Pasir Panjang T1-2,2,2023,1,Friday,False
2023-02-25,87139,Pasir Panjang T3-4,2,2023,1,Saturday,True
2023-02-26,88282,Tanjong Pagar,2,2023,1,Sunday,True
2023-02-27,93362,Pasir Panjang T1-2,2,2023,1,Monday,False
2023-02-28,86875,Keppel,2,2023,1,Tuesday,False
2023-03-01,92132,Keppel,3,2023,1,Wednesday,False
2023-03-02,84830,Pasir Panjang T1-2,3,2023,1,Thursday,False
2023-03-03,88724,Brani,3,2023,1,Friday,False
2023-03-04,90236,Pasir Panjang T1-2,3,2023,1,Saturday,True
2023-03-05,91539,Keppel,3,2023,1,Sunday,True
2023-03-06,92005,Pasir Panjang T3-4,3,2023,1,Monday,False
2023-03-07,92350,Tanjong Pagar,3,2023,1,Tuesday,False
2023-03-08,89267,Tuas,3,2023,1,Wednesday,False
2023-03-09,89061,Tanjong Pagar,3,2023,1,Thursday,False
2023-03-10,92870,Pasir Panjang T3-4,3,2023,1,Friday,False
2023-03-11,90042,Brani,3,2023,1,Saturday,True
2023-03-12,87114,Brani,3,2023,1,Sunday,True
2023-03-13,87621,Tanjong Pagar,3,2023,1,Monday,False
2023-03-14,88326,Pasir Panjang T3-4,3,2023,1,Tuesday,False
2023-03-15,92397,Tanjong Pagar,3,2023,1,Wednesday,False
2023-03-16,91507,Pasir Panjang T1-2,3,2023,1,Thursday,False
2023-03-17,93143,Pasir Panjang T3-4,3,2023,1,Friday,False
2023-03-18,90114,Tuas,3,2023,1,Saturday,True
2023-03-19,91853,Pasir Panjang T3-4,3,2023,1,Sunday,True
2023-03-20,93258,Keppel,3,2023,1,Monday,False
2023-03-21,90737,Pasir Panjang T3-4,3,2023,1,Tuesday,False
2023-03-22,92976,Pasir Panjang T3-4,3,2023,1,Wednesday,False
2023-03-23,89936,Keppel,3,2023,1,Thursday,False
2023-03-24,90864,Tanjong Pagar,3,2023,1,Friday,False
2023-03-25,90901,Tuas,3,2023,1,Saturday,True
2023-03-26,88710,Tanjong Pagar,3,2023,1,Sunday,True
2023-03-27,93507,Pasir Panjang T1-2,3,2023,1,Monday,False
2023-03-28,90914,Keppel,3,2023,1,Tuesday,False
2023-03-29,92346,Tanjong Pagar,3,2023,1,Wednesday,False
2023-03-30,93738,Pasir Panjang T3-4,3,2023,1,Thursday,False
2023-03-31,93721,Tanjong Pagar,3,2023,1,Friday,False
2023-04-01,94411,Pasir Panjang T3-4,4,2023,2,Saturday,True
2023-04-02,92348,Pasir Panjang T3-4,4,2023,2,Sunday,True
2023-04-03,91512,Tanjong Pagar,4,2023,2,Monday,False
2023-04-04,92546,Keppel,4,2023,2,Tuesday,False
2023-04-05,88115,Pasir Panjang T3-4,4,2023,2,Wednesday,False
2023-04-06,88856,Pasir Panjang T1-2,4,2023,2,Thursday,False
2023-04-07,89271,Tanjong Pagar,4,2023,2,Friday,False
2023-04-08,90246,Tuas,4,2023,2,Saturday,True
2023-04-09,94221,Keppel,4,2023,2,Sunday,True
2023-04-10,90626,Tanjong Pagar,4,2023,2,Monday,False
2023-04-11,92162,Tuas,4,2023,2,Tuesday,False
2023-04-12,96915,Tanjong Pagar,4,2023,2,Wednesday,False
2023-04-13,92334,Pasir Panjang T1-2,4,2023,2,Thursday,False
2023-04-14,95450,Tuas,4,2023,2,Friday,False
2023-04-15,90821,Pasir Panjang T1-2,4,2023,2,Saturday,True
2023-04-16,92909,Pasir Panjang T1-2,4,2023,2,Sunday,True
2023-04-17,90871,Brani,4,2023,2,Monday,False
2023-04-18,92627,Tanjong Pagar,4,2023,2,Tuesday,False
2023-04-19,95971,Pasir Panjang T1-2,4,2023,2,Wednesday,False
2023-04-20,88823,Tuas,4,2023,2,Thursday,False
2023-04-21,94914,Tanjong Pagar,4,2023,2,Friday,False
2023-04-22,94400,Tuas,4,2023,2,Saturday,True
2023-04-23,92106,Brani,4,2023,2,Sunday,True
2023-04-24,89753,Pasir Panjang T1-2,4,2023,2,Monday,False
2023-04-25,94034,Tanjong Pagar,4,2023,2,Tuesday,False
2023-04-26,92378,Pasir Panjang T1-2,4,2023,2,Wednesday,False
2023-04-27,94539,Keppel,4,2023,2,Thursday,False
2023-04-28,93973,Keppel,4,2023,2,Friday,False
2023-04-29,98419,Pasir Panjang T3-4,4,2023,2,Saturday,True
2023-04-30,93284,Tanjong Pagar,4,2023,2,Sunday,True
2023-05-01,91106,Brani,5,2023,2,Monday,False
2023-05-02,94490,Pasir Panjang T1-2,5,2023,2,Tuesday,False
2023-05-03,94618,Tanjong Pagar,5,2023,2,Wednesday,False
2023-05-04,97820,Keppel,5,2023,2,Thursday,False
2023-05-05,96362,Brani,5,2023,2,Friday,False
2023-05-06,95031,Pasir Panjang T1-2,5,2023,2,Saturday,True
2023-05-07,98134,Tuas,5,2023,2,Sunday,True
2023-05-08,90712,Tuas,5,2023,2,Monday,False
2023-05-09,92251,Keppel,5,2023,2,Tuesday,False
2023-05-10,91447,Tanjong Pagar,5,2023,2,Wednesday,False
2023-05-11,92948,Tanjong Pagar,5,2023,2,Thursday,False
2023-05-12,90180,Pasir Panjang T1-2,5,2023,2,Friday,False
2023-05-13,95806,Tanjong Pagar,5,2023,2,Saturday,True
2023-05-14,93397,Keppel,5,2023,2,Sunday,True
2023-05-15,89890,Tuas,5,2023,2,Monday,False
2023-05-16,91152,Tuas,5,2023,2,Tuesday,False
2023-05-17,94859,Tuas,5,2023,2,Wednesday,False
2023-05-18,96311,Keppel,5,2023,2,Thursday,False
2023-05-19,99536,Pasir Panjang T1-2,5,2023,2,Friday,False
2023-05-20,102084,Pasir Panjang T1-2,5,2023,2,Saturday,True
2023-05-21,95062,Keppel,5,2023,2,Sunday,True
2023-05-22,91107,Pasir Panjang T1-2,5,2023,2,Monday,False
2023-05-23,87881,Pasir Panjang T1-2,5,2023,2,Tuesday,False
2023-05-24,94572,Brani,5,2023,2,Wednesday,False
2023-05-25,91516,Pasir Panjang T3-4,5,2023,2,Thursday,False
2023-05-26,92597,Pasir Panjang T3-4,5,2023,2,Friday,False
2023-05-27,92011,Pasir Panjang T1-2,5,2023,2,Saturday,True
2023-05-28,93295,Pasir Panjang T3-4,5,2023,2,Sunday,True
2023-05-29,96636,Pasir Panjang T3-4,5,2023,2,Monday,False
2023-05-30,94051,Pasir Panjang T1-2,5,2023,2,Tuesday,False
2023-05-31,93126,Keppel,5,2023,2,Wednesday,False
2023-06-01,90627,Pasir Panjang T3-4,6,2023,2,Thursday,False
2023-06-02,88792,Pasir Panjang T3-4,6,2023,2,Friday,False
2023-06-03,92073,Tuas,6,2023,2,Saturday,True
2023-06-04,93235,Tanjong Pagar,6,2023,2,Sunday,True
2023-06-05,98285,Brani,6,2023,2,Monday,False
2023-06-06,93648,Tuas,6,2023,2,Tuesday,False
2023-06-07,95981,Pasir Panjang T1-2,6,2023,2,Wednesday,False
