YearMonth,Year,Month,Route,TEU,AvgFreightRateUSD,ShipCount,OnTimeDeliveryPct
2023-01,2023,1,Singapore–China,443310,805.0,79,0.917
2023-01,2023,1,Singapore–Europe,273895,1180.0,133,0.856
2023-01,2023,1,Singapore–US East,189322,1889.0,168,0.944
2023-01,2023,1,Singapore–US West,163917,989.0,115,0.83
2023-01,2023,1,Singapore–India,180018,1837.0,108,0.869
2023-01,2023,1,Singapore–SE Asia,327275,1539.0,107,0.794
2023-01,2023,1,Singapore–Middle East,149055,2983.0,80,0.878
2023-01,2023,1,Singapore–Japan,121542,1956.0,70,0.781
2023-01,2023,1,Singapore–Korea,105657,1853.0,47,0.827
2023-02,2023,2,Singapore–China,455780,938.0,118,0.868
2023-02,2023,2,Singapore–Europe,307586,1692.0,122,0.915
2023-02,2023,2,Singapore–US East,191086,2748.0,149,0.95
2023-02,2023,2,Singapore–US West,167356,1344.0,40,0.807
2023-02,2023,2,Singapore–India,183328,1972.0,57,0.887
2023-02,2023,2,Singapore–SE Asia,339407,1995.0,128,0.869
2023-02,2023,2,Singapore–Middle East,150399,3053.0,67,0.944
2023-02,2023,2,Singapore–Japan,133275,1238.0,112,0.849
2023-02,2023,2,Singapore–Korea,114324,1998.0,53,0.906
2023-03,2023,3,Singapore–China,456388,2388.0,151,0.794
2023-03,2023,3,Singapore–Europe,310904,1631.0,164,0.903
2023-03,2023,3,Singapore–US East,194551,2718.0,168,0.875
2023-03,2023,3,Singapore–US West,177099,1143.0,65,0.926
2023-03,2023,3,Singapore–India,188712,3097.0,115,0.892
2023-03,2023,3,Singapore–SE Asia,335826,2435.0,59,0.787
2023-03,2023,3,Singapore–Middle East,147134,1081.0,131,0.82
2023-03,2023,3,Singapore–Japan,129983,2659.0,123,0.908
2023-03,2023,3,Singapore–Korea,120604,2383.0,114,0.94
2023-04,2023,4,Singapore–China,438015,2998.0,86,0.925
2023-04,2023,4,Singapore–Europe,293977,2136.0,53,0.899
2023-04,2023,4,Singapore–US East,194521,2193.0,56,0.804
2023-04,2023,4,Singapore–US West,178879,1408.0,85,0.866
2023-04,2023,4,Singapore–India,185836,1316.0,81,0.853
2023-04,2023,4,Singapore–SE Asia,334982,2127.0,163,0.925
2023-04,2023,4,Singapore–Middle East,149844,1031.0,137,0.795
2023-04,2023,4,Singapore–Japan,120610,2300.0,70,0.8
2023-04,2023,4,Singapore–Korea,117459,2976.0,56,0.934
2023-05,2023,5,Singapore–China,415507,2042.0,124,0.805
2023-05,2023,5,Singapore–Europe,262843,2723.0,86,0.859
2023-05,2023,5,Singapore–US East,197004,1841.0,169,0.895
2023-05,2023,5,Singapore–US West,166393,2187.0,114,0.813
2023-05,2023,5,Singapore–India,178410,1569.0,172,0.803
2023-05,2023,5,Singapore–SE Asia,307045,2887.0,147,0.807
2023-05,2023,5,Singapore–Middle East,142098,3062.0,170,0.9
2023-05,2023,5,Singapore–Japan,124729,2418.0,179,0.81
2023-05,2023,5,Singapore–Korea,117738,1041.0,130,0.968
2023-06,2023,6,Singapore–China,391448,1632.0,78,0.941
2023-06,2023,6,Singapore–Europe,292324,1150.0,66,0.866
2023-06,2023,6,Singapore–US East,171246,1399.0,108,0.858
2023-06,2023,6,Singapore–US West,159301,2021.0,55,0.819
2023-06,2023,6,Singapore–India,166857,3193.0,116,0.879
2023-06,2023,6,Singapore–SE Asia,304854,1464.0,148,0.917
