VesselID,Date,Terminal,ShippingLine,VesselType,Route,ArrivalHour,TurnaroundHrs,DepartureHour,TEUCapacity,TEULoaded,UtilisationRate
V01000,2023-01-01,Keppel,Maersk,General Cargo,Singapore–Korea,16,29.0,21,8000,10260,1.0
V01001,2023-01-01,Pasir Panjang T3-4,COSCO,Container,Singapore–US East,17,37.4,6,8000,10076,1.0
V01002,2023-01-01,Brani,COSCO,Tanker,Singapore–Japan,16,21.2,13,24000,19219,0.801
V01003,2023-01-01,Brani,Yang Ming,Container,Singapore–Japan,7,31.5,14,12000,17321,1.0
V01004,2023-01-01,Pasir Panjang T1-2,COSCO,Bulk Carrier,Singapore–Europe,21,14.5,11,12000,5562,0.464
V01005,2023-01-01,Keppel,HMM,Container,Singapore–Middle East,0,23.3,23,12000,18374,1.0
V01006,2023-01-01,Brani,Maersk,Tanker,Singapore–Japan,4,15.8,19,14500,13304,0.918
V01007,2023-01-01,Tanjong Pagar,Hapag-Lloyd,Container,Singapore–Middle East,2,22.3,0,12000,16524,1.0
V01008,2023-01-01,Pasir Panjang T1-2,COSCO,Container,Singapore–US West,18,24.1,18,20000,10775,0.539
V01009,2023-01-01,Tuas,COSCO,Container,Singapore–Europe,2,14.2,16,8000,19093,1.0
V01010,2023-01-01,Pasir Panjang T3-4,PIL,Container,Singapore–SE Asia,23,15.6,14,24000,11205,0.467
V01011,2023-01-01,Tuas,Evergreen,Container,Singapore–Europe,23,34.7,9,14500,15276,1.0
V01012,2023-01-01,Keppel,Yang Ming,Tanker,Singapore–India,17,26.7,19,12000,13754,1.0
V01013,2023-01-01,Pasir Panjang T1-2,COSCO,Container,Singapore–India,1,27.6,4,12000,13047,1.0
V01014,2023-01-01,Tanjong Pagar,MSC,Container,Singapore–US West,19,26.6,21,8000,11183,1.0
V01015,2023-01-01,Brani,HMM,Container,Singapore–China,13,29.6,18,8000,11272,1.0
V01016,2023-01-01,Pasir Panjang T3-4,HMM,Container,Singapore–Korea,15,16.5,7,24000,13793,0.575
V01017,2023-01-01,Brani,Evergreen,Container,Singapore–SE Asia,1,17.6,18,12000,14841,1.0
V01018,2023-01-01,Tuas,MSC,Container,Singapore–US West,2,17.4,19,8000,7435,0.929
V01019,2023-01-01,Keppel,CMA CGM,Container,Singapore–China,7,21.4,4,12000,10284,0.857
V01020,2023-01-01,Brani,Maersk,Container,Singapore–Korea,4,35.1,15,20000,5707,0.285
V01021,2023-01-01,Brani,MSC,Tanker,Singapore–Japan,14,15.2,5,8000,19981,1.0
V01022,2023-01-01,Tanjong Pagar,CMA CGM,Container,Singapore–US West,23,13.1,12,14500,20334,1.0
V01023,2023-01-01,Tuas,HMM,Container,Singapore–Korea,19,16.4,11,14500,13942,0.962
V01024,2023-01-01,Tuas,Yang Ming,Container,Singapore–SE Asia,9,22.3,7,20000,8832,0.442
V01025,2023-01-01,Tuas,Maersk,Container,Singapore–SE Asia,2,34.5,12,20000,11674,0.584
V01026,2023-01-01,Pasir Panjang T3-4,HMM,Container,Singapore–Korea,15,36.1,3,20000,9729,0.486
V01027,2023-01-02,Pasir Panjang T1-2,Evergreen,Bulk Carrier,Singapore–US West,9,29.1,14,12000,6242,0.52
V01028,2023-01-02,Brani,Maersk,Tanker,Singapore–Korea,12,16.3,4,12000,14844,1.0
V01029,2023-01-02,Pasir Panjang T1-2,Yang Ming,Tanker,Singapore–Korea,18,18.7,12,24000,6825,0.284
V01030,2023-01-02,Pasir Panjang T3-4,Maersk,Container,Singapore–China,23,36.6,11,24000,20349,0.848
V01031,2023-01-02,Tanjong Pagar,Maersk,Bulk Carrier,Singapore–China,14,29.7,19,8000,7164,0.896
V01032,2023-01-02,Tuas,Evergreen,Container,Singapore–SE Asia,5,24.1,5,20000,18621,0.931
V01033,2023-01-02,Tuas,COSCO,Container,Singapore–Middle East,23,26.7,1,8000,7237,0.905
V01034,2023-01-02,Brani,Hapag-Lloyd,General Cargo,Singapore–Japan,5,37.1,18,24000,17625,0.734
V01035,2023-01-02,Pasir Panjang T1-2,HMM,Container,Singapore–US West,23,21.7,20,24000,9836,0.41
V01036,2023-01-02,Pasir Panjang T1-2,PIL,Container,Singapore–Korea,15,27.8,18,12000,6408,0.534
V01037,2023-01-02,Tanjong Pagar,Yang Ming,Container,Singapore–Middle East,21,33.8,6,12000,7468,0.622
V01038,2023-01-02,Tanjong Pagar,Hapag-Lloyd,Tanker,Singapore–SE Asia,22,24.1,22,8000,6990,0.874
V01039,2023-01-02,Brani,ONE,Container,Singapore–Korea,18,13.0,7,14500,10761,0.742
V01040,2023-01-02,Tanjong Pagar,MSC,Container,Singapore–India,13,20.9,9,24000,9569,0.399
V01041,2023-01-02,Pasir Panjang T3-4,PIL,Bulk Carrier,Singapore–Korea,9,14.1,23,24000,10367,0.432
V01042,2023-01-02,Brani,Evergreen,Bulk Carrier,Singapore–US West,3,12.9,15,24000,19160,0.798
V01043,2023-01-02,Tanjong Pagar,Yang Ming,RORO,Singapore–US West,4,19.8,23,8000,19028,1.0
V01044,2023-01-02,Tuas,MSC,Tanker,Singapore–Korea,21,13.6,10,8000,6680,0.835
V01045,2023-01-02,Tuas,Hapag-Lloyd,Container,Singapore–Korea,20,22.3,18,8000,11531,1.0
V01046,2023-01-02,Keppel,MSC,General Cargo,Singapore–Europe,18,19.4,13,8000,7452,0.932
V01047,2023-01-02,Pasir Panjang T3-4,HMM,Tanker,Singapore–US West,12,37.4,1,24000,17203,0.717
V01048,2023-01-02,Pasir Panjang T3-4,Hapag-Lloyd,Tanker,Singapore–Europe,7,26.1,9,24000,17688,0.737
V01049,2023-01-02,Brani,Evergreen,Container,Singapore–Europe,10,22.0,8,12000,14120,1.0
V01050,2023-01-02,Tanjong Pagar,Yang Ming,RORO,Singapore–Japan,13,23.6,12,20000,8282,0.414
V01051,2023-01-02,Tanjong Pagar,CMA CGM,Container,Singapore–US West,20,37.4,9,14500,22835,1.0
V01052,2023-01-02,Tuas,CMA CGM,Container,Singapore–Korea,0,13.3,13,8000,5892,0.736
V01053,2023-01-02,Pasir Panjang T1-2,PIL,Bulk Carrier,Singapore–Japan,8,26.0,10,12000,21892,1.0
V01054,2023-01-02,Pasir Panjang T1-2,HMM,Container,Singapore–Europe,15,36.7,3,8000,10810,1.0
V01055,2023-01-02,Brani,PIL,Tanker,Singapore–Europe,14,21.8,11,14500,14660,1.0
V01056,2023-01-02,Keppel,ONE,Container,Singapore–Japan,4,29.5,9,12000,21344,1.0
V01057,2023-01-02,Keppel,PIL,Container,Singapore–SE Asia,17,16.9,9,14500,6645,0.458
V01058,2023-01-02,Pasir Panjang T1-2,Evergreen,Container,Singapore–India,22,37.9,11,14500,19255,1.0
V01059,2023-01-02,Tanjong Pagar,Hapag-Lloyd,Bulk Carrier,Singapore–SE Asia,17,17.9,10,8000,7716,0.964
V01060,2023-01-02,Brani,HMM,Container,Singapore–Japan,11,24.4,11,24000,17359,0.723
V01061,2023-01-02,Pasir Panjang T3-4,Evergreen,Tanker,Singapore–Middle East,21,28.6,1,20000,11321,0.566
V01062,2023-01-03,Pasir Panjang T3-4,Yang Ming,Container,Singapore–US West,16,37.0,5,20000,19840,0.992
V01063,2023-01-03,Tanjong Pagar,Hapag-Lloyd,Tanker,Singapore–Europe,17,24.0,17,12000,5900,0.492
V01064,2023-01-03,Brani,CMA CGM,Container,Singapore–Korea,15,31.4,22,14500,7658,0.528
V01065,2023-01-03,Pasir Panjang T3-4,COSCO,Bulk Carrier,Singapore–US East,3,17.1,20,8000,21613,1.0
V01066,2023-01-03,Keppel,Yang Ming,Container,Singapore–US West,16,16.6,8,24000,6074,0.253
V01067,2023-01-03,Keppel,Yang Ming,Tanker,Singapore–India,7,15.3,22,8000,6556,0.82
V01068,2023-01-03,Keppel,MSC,Container,Singapore–Japan,18,31.4,1,14500,17995,1.0
V01069,2023-01-03,Brani,CMA CGM,Container,Singapore–India,8,16.6,0,20000,10776,0.539
V01070,2023-01-03,Keppel,COSCO,Container,Singapore–Europe,7,19.1,2,20000,9445,0.472
V01071,2023-01-03,Tuas,Maersk,Container,Singapore–Korea,5,31.8,12,20000,18629,0.931
V01072,2023-01-03,Pasir Panjang T1-2,Evergreen,RORO,Singapore–Korea,23,28.0,3,14500,16273,1.0
V01073,2023-01-03,Pasir Panjang T3-4,Hapag-Lloyd,Container,Singapore–India,1,12.4,13,14500,12249,0.845
V01074,2023-01-03,Pasir Panjang T3-4,PIL,Container,Singapore–China,13,33.8,22,8000,18517,1.0
V01075,2023-01-03,Pasir Panjang T3-4,MSC,Container,Singapore–Korea,23,34.7,9,8000,10987,1.0
V01076,2023-01-03,Pasir Panjang T3-4,Evergreen,Bulk Carrier,Singapore–US West,14,36.4,2,20000,8750,0.438
V01077,2023-01-03,Keppel,ONE,Container,Singapore–Korea,4,13.5,17,8000,21062,1.0
V01078,2023-01-03,Pasir Panjang T3-4,CMA CGM,Container,Singapore–Japan,4,16.6,20,24000,17294,0.721
V01079,2023-01-03,Keppel,Evergreen,Container,Singapore–US East,16,33.2,1,12000,18161,1.0
V01080,2023-01-03,Tanjong Pagar,ONE,Tanker,Singapore–US East,10,23.2,9,20000,15794,0.79
V01081,2023-01-03,Pasir Panjang T3-4,ONE,Bulk Carrier,Singapore–China,20,17.5,13,12000,16588,1.0
V01082,2023-01-03,Keppel,Yang Ming,Container,Singapore–Japan,4,25.5,5,8000,10759,1.0
V01083,2023-01-03,Tanjong Pagar,MSC,Container,Singapore–Europe,8,16.9,0,14500,13483,0.93
V01084,2023-01-03,Pasir Panjang T1-2,MSC,Container,Singapore–Korea,15,30.0,21,20000,13742,0.687
V01085,2023-01-03,Tanjong Pagar,Maersk,Container,Singapore–Middle East,5,31.0,12,14500,10703,0.738
V01086,2023-01-03,Keppel,CMA CGM,Tanker,Singapore–US East,4,24.1,4,12000,21906,1.0
